GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
csgna-core-safety-flink-customer-mapping,com.daimler.dvs.core.customermapping.domain,CMSRequestDtoBuilder,0,24,0,0,0,9,0,2,0,2
csgna-core-safety-flink-customer-mapping,com.daimler.dvs.core.customermapping.domain,CMSRequestDto.CMSRequestDtoBuilder,167,195,0,0,0,1,4,28,4,28
csgna-core-safety-flink-customer-mapping,com.daimler.dvs.core.customermapping.domain,CustomerDtoBuilder,9,0,0,0,4,0,2,0,2,0
csgna-core-safety-flink-customer-mapping,com.daimler.dvs.core.customermapping.domain,CustomerDto,17,0,0,0,3,0,4,0,4,0
csgna-core-safety-flink-customer-mapping,com.daimler.dvs.core.customermapping.domain,CMSRequestDto,36,261,0,0,0,31,9,51,9,51
csgna-core-safety-flink-customer-mapping,com.daimler.dvs.core.customermapping.domain,CustomerDto.CustomerDtoBuilder,26,0,0,0,1,0,4,0,4,0
csgna-core-safety-flink-customer-mapping,com.daimler.dvs.core.customermapping.validation.helper,FieldsValidationHelper,1,32,1,1,0,6,1,2,0,2
csgna-core-safety-flink-customer-mapping,com.daimler.dvs.core.customermapping.model,Customer,15,0,0,0,5,0,5,0,5,0
csgna-core-safety-flink-customer-mapping,com.daimler.dvs.core.customermapping.validation,ValidationResult,0,41,0,2,0,10,0,7,0,6
csgna-core-safety-flink-customer-mapping,com.daimler.dvs.core.customermapping.validation,SimpleValidation,0,26,0,2,0,6,0,4,0,3
csgna-core-safety-flink-customer-mapping,com.daimler.dvs.core.customermapping.validation,ValidationFacade,69,79,12,7,20,14,14,9,6,6
csgna-core-safety-flink-customer-mapping,com.daimler.dvs.core.customermapping.function,GenericEventHubSenderFunction,33,26,0,0,6,9,1,3,1,3
csgna-core-safety-flink-customer-mapping,com.daimler.dvs.core.customermapping.function,ValidationFunction,38,130,2,10,7,32,3,7,1,3
csgna-core-safety-flink-customer-mapping,com.daimler.dvs.core.customermapping.enums,FeatureType,0,44,0,0,0,5,0,1,0,1
csgna-core-safety-flink-customer-mapping,com.daimler.dvs.core.customermapping.enums,Country,0,24,0,0,0,3,0,1,0,1
csgna-core-safety-flink-customer-mapping,com.daimler.dvs.core.customermapping.job,CustomerMappingJob,83,0,2,0,27,0,5,0,4,0
csgna-core-safety-flink-customer-mapping,com.daimler.dvs.core.customermapping.job,CustomerMappingJobConfig,114,0,0,0,13,0,23,0,23,0
csgna-core-safety-flink-customer-mapping,com.daimler.dvs.core.customermapping.constants,CustomerMappingConstants,21,0,0,0,4,0,1,0,1,0
csgna-core-safety-flink-customer-mapping,com.daimler.dvs.core.customermapping.constants,CustomerMappingConstants.new OutputTag() {...},4,0,0,0,1,0,1,0,1,0
csgna-core-safety-flink-customer-mapping,com.daimler.dvs.core.customermapping.constants,CustomerMappingConstants.new OutputTag() {...},4,0,0,0,1,0,1,0,1,0
csgna-core-safety-flink-customer-mapping,com.daimler.dvs.core.customermapping.constants,CustomerMappingConstants.new OutputTag() {...},4,0,0,0,1,0,1,0,1,0
csgna-core-safety-flink-customer-mapping,com.daimler.dvs.core.customermapping.constants,CustomerMappingConstants.new OutputTag() {...},4,0,0,0,1,0,1,0,1,0
csgna-core-safety-flink-customer-mapping,com.daimler.dvs.core.customermapping.logging,LogAnalytics,117,31,0,0,32,8,6,2,6,2
csgna-core-safety-flink-customer-mapping,com.daimler.dvs.core.customermapping.logging,LogMetricsDto,77,0,0,0,2,0,12,0,12,0
csgna-core-safety-flink-customer-mapping,com.daimler.dvs.core.customermapping.logging,LogMetricsDto.LogMetricsDtoBuilder,134,0,0,0,1,0,13,0,13,0
csgna-core-safety-flink-customer-mapping,com.daimler.dvs.core.customermapping.repository,CustomerRepositoryImpl,4,0,0,0,2,0,1,0,1,0
csgna-core-safety-flink-customer-mapping,com.daimler.dvs.core.customermapping.service,CustomerServiceImpl,13,0,0,0,4,0,2,0,2,0
csgna-core-safety-flink-customer-mapping,com.daimler.dvs.core.customermapping.processor,ValidationProcessor,19,73,2,0,6,17,3,5,2,5
csgna-core-safety-flink-customer-mapping,com.daimler.dvs.core.customermapping.factories,LambdaFactory,17,63,8,14,3,14,6,11,1,5
csgna-core-safety-flink-customer-mapping,com.daimler.dvs.core.customermapping.factories,GenericEventHubSenderFactory,0,63,0,0,0,16,0,2,0,2
csgna-core-safety-flink-customer-mapping,com.daimler.dvs.core.customermapping.validation.service,MandatoryFieldsValidatorService,6,99,6,14,0,22,6,6,0,2
csgna-core-safety-flink-customer-mapping,com.daimler.dvs.core.customermapping.di,CustomerMappingModule,34,0,0,0,13,0,2,0,2,0
